country,connection country
Luxembourg,United Kingdom
Luxembourg,Germany
Luxembourg,France
Macao,Taiwan
Macao,China
Macao,Thailand
Madagascar,Kenya
Madagascar,Madagascar
Madagascar,France
Madagascar,Mayotte
Madagascar,Ethiopia
Malawi,Malawi
Malawi,South Africa
Malawi,Tanzania
Malawi,Mozambique
Malawi,Ethiopia
Malawi,Kenya
Malawi,Democratic Republic of the Congo
Malaysia,Malaysia
Malaysia,Singapore
Malaysia,Thailand
Malaysia,South Korea
Malaysia,Indonesia
Malaysia,China
Malaysia,Solomon Islands
Maldives,Maldives
Maldives,Sri Lanka
Maldives,United Arab Emirates
Mali,Senegal
Mali,Côte d’Ivoire
Mali,Guinea
Mali,Ethiopia
Mali,Morocco
Malta,Italy
Malta,United Kingdom
Malta,Germany
Marshall Islands,Marshall Islands
Marshall Islands,Micronesia
Marshall Islands,United States
Marshall Islands,Kiribati
Martinique,Guadeloupe
Martinique,France
Martinique,French Guiana
Martinique,Canada
Mauritania,Mauritania
Mauritania,Spain
Mauritania,Senegal
Mauritania,Morocco
Mauritania,Turkey
Mauritania,Tunisia
Mauritius,France
Mauritius,Mauritius
Mauritius,South Africa
Mauritius,United Arab Emirates
Mayotte,France
Mayotte,Comoros
Mayotte,Madagascar
Mayotte,Kenya
Mexico,Mexico
Mexico,United States
Mexico,Canada
Mexico,Dominican Republic
Micronesia,Guam
Micronesia,Micronesia
Micronesia,Marshall Islands
Moldova,Turkey
Moldova,Romania
Moldova,Poland
Moldova,Armenia
Moldova,Israel
Mongolia,Mongolia
Mongolia,South Korea
Mongolia,China
Montenegro,Serbia
Montenegro,Austria
Montenegro,Turkey
Montenegro,Poland
Montenegro,United Kingdom
Montenegro,Czechia
Morocco,France
Morocco,Morocco
Morocco,United Kingdom
Morocco,Belgium
Morocco,Netherlands
Morocco,Spain
Morocco,Western Sahara
Morocco,Germany
Mozambique,Mozambique
Mozambique,South Africa
Mozambique,Ethiopia
Mozambique,Kenya
Mozambique,Tanzania
Mozambique,Mayotte
Myanmar (Burma),Myanmar (Burma)
Myanmar (Burma),Thailand
Myanmar (Burma),Singapore
Namibia,Namibia
Namibia,South Africa
Namibia,St. Helena
Namibia,Germany
Namibia,Ethiopia
Namibia,Angola
Nauru,Australia
Nauru,Kiribati
Nauru,Fiji
Nepal,Nepal
Nepal,Malaysia
Nepal,India
Netherlands,United Kingdom
Netherlands,Spain
Netherlands,Denmark
Netherlands,Ireland
Netherlands,Portugal
Netherlands,Greece
Netherlands,Turkey
Netherlands,Italy
New Caledonia,New Caledonia
New Caledonia,Australia
New Caledonia,Singapore
New Caledonia,New Zealand
New Caledonia,Vanuatu
New Zealand,New Zealand
New Zealand,Australia
Nicaragua,Nicaragua
Nicaragua,United States
Nicaragua,El Salvador
Nicaragua,Panama
Niger,Niger
Niger,Burkina Faso
Niger,Côte d’Ivoire
Niger,Togo
Niger,France
Niger,Benin
Nigeria,Nigeria
Nigeria,Ethiopia
Nigeria,Egypt
Nigeria,Saudi Arabia
Nigeria,Ghana
Nigeria,Equatorial Guinea
Nigeria,Cameroon
Niue,New Zealand
Norfolk Island,Australia
Norfolk Island,New Zealand
Northern Mariana Islands,South Korea
Northern Mariana Islands,Guam
Northern Mariana Islands,Japan
Norway,Norway
Norway,Netherlands
Norway,Denmark
Norway,Poland
Norway,Spain
Norway,Greece
Norway,Sweden
Norway,United Kingdom
Oman,Oman
Oman,United Arab Emirates
Oman,Qatar
Oman,Saudi Arabia
Oman,India
Oman,Iran
Oman,Turkey
Pakistan,Pakistan
Pakistan,United Arab Emirates
Pakistan,Bahrain
Pakistan,Oman
Pakistan,Saudi Arabia
Pakistan,Qatar
Palau,Guam
Palau,Philippines
Palau,Taiwan
Palau,Macao
Palau,Papua New Guinea
Panama,Colombia
Panama,Cuba
Panama,Panama
Panama,Costa Rica
Panama,United States
Panama,Mexico
Panama,Canada
Papua New Guinea,Papua New Guinea
Papua New Guinea,Australia
Paraguay,Argentina
Paraguay,Brazil
Paraguay,Panama
Paraguay,Uruguay
Paraguay,Bolivia
Paraguay,Paraguay
Peru,Peru
Peru,Panama
Peru,Chile
Philippines,South Korea
Philippines,Philippines
Philippines,Taiwan
Philippines,Hong Kong
Philippines,Macao
Philippines,China
Philippines,Singapore
Poland,Poland
Poland,United Kingdom
Poland,Ireland
Poland,Netherlands
Poland,Denmark
Poland,Norway
Poland,Germany
Poland,Austria
Poland,Italy
Poland,Spain
Poland,Belgium
Poland,Croatia
Poland,Bulgaria
Poland,France
Poland,Greece
Poland,Albania
Portugal,Italy
Portugal,Portugal
Portugal,United Kingdom
Portugal,Ireland
Portugal,Spain
Portugal,France
Portugal,Netherlands
Portugal,Switzerland
Puerto Rico,United States
Puerto Rico,Puerto Rico
Puerto Rico,U.S. Virgin Islands
Puerto Rico,British Virgin Islands
Qatar,United Arab Emirates
Qatar,Oman
Qatar,Kuwait
Qatar,United Kingdom
Republic of North Macedonia,Switzerland
Republic of North Macedonia,Netherlands
Republic of North Macedonia,Serbia
Republic of North Macedonia,Germany
Republic of North Macedonia,Turkey
Republic of North Macedonia,Austria
Republic of the Congo,Republic of the Congo
Republic of the Congo,Democratic Republic of the Congo
Republic of the Congo,Gabon
Republic of the Congo,France
Republic of the Congo,Cameroon
Republic of the Congo,Azerbaijan
Republic of the Congo,Ethiopia
Republic of the Congo,Turkey
Réunion,Mauritius
Romania,United Kingdom
Romania,Italy
Romania,Romania
Romania,France
Romania,Belgium
Romania,Germany
Romania,Hungary
Romania,Israel
Romania,Turkey
Romania,Austria
Russia,Russia
Russia,Kazakhstan
Russia,Azerbaijan
Russia,Turkey
Russia,Belarus
Russia,Armenia
Russia,United Arab Emirates
Russia,Tajikistan
Russia,Kyrgyzstan
Rwanda,Rwanda
Rwanda,Uganda
Rwanda,Kenya
Rwanda,Ethiopia
Rwanda,Tanzania
Rwanda,Burundi
Samoa,New Zealand
Samoa,Fiji
Samoa,Australia
Samoa,United States
São Tomé & Príncipe,São Tomé & Príncipe
São Tomé & Príncipe,Gabon
São Tomé & Príncipe,Ghana
São Tomé & Príncipe,Portugal
São Tomé & Príncipe,Angola
Saudi Arabia,Saudi Arabia
Saudi Arabia,United Arab Emirates
Saudi Arabia,Egypt
Saudi Arabia,Kuwait
Saudi Arabia,United Kingdom
Saudi Arabia,Qatar
Senegal,Senegal
Senegal,Mali
Senegal,Guinea
Senegal,Côte d’Ivoire
Senegal,France
Serbia,Montenegro
Serbia,Turkey
Serbia,Switzerland
Serbia,Austria
Serbia,Greece
Serbia,Serbia
Seychelles,Seychelles
Seychelles,United Arab Emirates
Seychelles,Ethiopia
Seychelles,Qatar
Seychelles,Kenya
Sierra Leone,Ghana
Sierra Leone,Gambia
Sierra Leone,Liberia
Sierra Leone,Guinea
Sierra Leone,Nigeria
Singapore,Malaysia
Singapore,Indonesia
Singapore,Thailand
Sint Maarten,St. Barthélemy
Sint Maarten,Anguilla
Sint Maarten,Caribbean Netherlands
Sint Maarten,St. Kitts & Nevis
Slovakia,Bulgaria
Slovakia,Italy
Slovakia,United Kingdom
Slovakia,Austria
Slovakia,Poland
Slovakia,Czechia
Slovakia,Israel
Slovenia,Germany
Slovenia,Serbia
Slovenia,Turkey
Slovenia,France
Slovenia,Poland
Solomon Islands,Solomon Islands
Solomon Islands,Australia
Solomon Islands,Fiji
Solomon Islands,Malaysia
Somalia,Somalia
Somalia,Ethiopia
Somalia,United Arab Emirates
Somalia,Saudi Arabia
Somalia,Kenya
Somalia,Djibouti
Somalia,Turkey
Somalia,Qatar
South Africa,South Africa
South Africa,Namibia
South Africa,United Arab Emirates
South Africa,Zambia
South Africa,Mozambique
South Korea,South Korea
South Korea,Japan
South Korea,Taiwan
South Korea,Thailand
South Korea,Vietnam
South Korea,China
South Korea,Mongolia
South Sudan,Ethiopia
South Sudan,Uganda
South Sudan,Kenya
South Sudan,Sudan
Spain,Spain
Spain,United Kingdom
Spain,Switzerland
Spain,Egypt
Spain,Netherlands
Spain,Italy
Spain,Belgium
Spain,Ireland
Spain,Poland
Spain,Romania
Spain,Hungary
Spain,Germany
Spain,Portugal
Spain,France
Sri Lanka,Sri Lanka
Sri Lanka,Maldives
Sri Lanka,India
Sri Lanka,United Arab Emirates
Sri Lanka,Qatar
Sri Lanka,Malaysia
St. Barthélemy,Sint Maarten
St. Barthélemy,Guadeloupe
St. Barthélemy,Puerto Rico
St. Barthélemy,St. Martin
St. Barthélemy,Anguilla
St. Helena,South Africa
St. Helena,Namibia
St. Kitts & Nevis,U.S. Virgin Islands
St. Kitts & Nevis,British Virgin Islands
St. Kitts & Nevis,Anguilla
St. Kitts & Nevis,St. Kitts & Nevis
St. Kitts & Nevis,Sint Maarten
St. Kitts & Nevis,United States
St. Kitts & Nevis,Antigua & Barbuda
St. Kitts & Nevis,Barbados
St. Lucia,United Kingdom
St. Lucia,United States
St. Lucia,Canada
St. Lucia,Barbados
St. Lucia,Dominica
St. Lucia,Trinidad & Tobago
St. Lucia,St. Vincent & Grenadines
St. Lucia,Antigua & Barbuda
St. Martin,Guadeloupe
St. Martin,St. Barthélemy
St. Pierre & Miquelon,Canada
St. Pierre & Miquelon,France
St. Vincent & Grenadines,Barbados
St. Vincent & Grenadines,St. Lucia
St. Vincent & Grenadines,Grenada
St. Vincent & Grenadines,Trinidad & Tobago
St. Vincent & Grenadines,United States
Sudan,Sudan
Sudan,Saudi Arabia
Sudan,Egypt
Sudan,United Arab Emirates
Sudan,Qatar
Sudan,South Sudan
Suriname,Guyana
Suriname,Netherlands
Suriname,Curaçao
Suriname,Brazil
Suriname,Caribbean Netherlands
Swaziland,South Africa
Swaziland,Zimbabwe
Sweden,Sweden
Sweden,Netherlands
Sweden,Germany
Sweden,Finland
Sweden,France
Sweden,Poland
Sweden,Republic of North Macedonia
Sweden,Croatia
Sweden,Turkey
Sweden,United Kingdom
Sweden,Denmark
Sweden,Greece
Sweden,Norway
Sweden,Romania
Sweden,Hungary
Sweden,Serbia
Sweden,Spain
Switzerland,Netherlands
Switzerland,Germany
Switzerland,Spain
Switzerland,Turkey
Switzerland,Greece
Switzerland,United Kingdom
Switzerland,Portugal
Switzerland,Italy
Switzerland,Austria
Syria,Iraq
Syria,United Arab Emirates
Taiwan,Taiwan
Taiwan,Hong Kong
Taiwan,Japan
Taiwan,South Korea
Taiwan,Vietnam
Taiwan,Thailand
Tajikistan,Russia
Tanzania,Tanzania
Tanzania,Kenya
Tanzania,Rwanda
Tanzania,Burundi
Thailand,Thailand
Thailand,Hong Kong
Thailand,Singapore
Thailand,Malaysia
Thailand,South Korea
Thailand,Taiwan
Thailand,United Arab Emirates
Thailand,Macao
Timor-Leste,Indonesia
Timor-Leste,Australia
Timor-Leste,Singapore
Togo,Ghana
Togo,Côte d’Ivoire
Togo,Nigeria
Togo,Benin
Togo,Senegal
Tonga,Tonga
Tonga,Fiji
Tonga,New Zealand
Trinidad & Tobago,Trinidad & Tobago
Trinidad & Tobago,United States
Trinidad & Tobago,Barbados
Trinidad & Tobago,Guyana
Trinidad & Tobago,St. Lucia
Trinidad & Tobago,Germany
Tunisia,France
Tunisia,Tunisia
Tunisia,United Kingdom
Tunisia,Belgium
Tunisia,Switzerland
Tunisia,Libya
Tunisia,Turkey
Turkey,Turkey
Turkey,Cyprus
Turkey,Germany
Turkey,Russia
Turkey,United Kingdom
Turkey,Belgium
Turkey,Norway
Turkey,Finland
Turkey,Denmark
Turkey,Sweden
Turkey,Spain
Turkey,Oman
Turkey,Kuwait
Turkey,Saudi Arabia
Turkey,United Arab Emirates
Turkmenistan,Turkmenistan
Turkmenistan,Turkey
Turkmenistan,Belarus
Turks & Caicos Islands,Turks & Caicos Islands
Turks & Caicos Islands,United States
Turks & Caicos Islands,Bahamas
Tuvalu,Fiji
U.S. Virgin Islands,U.S. Virgin Islands
U.S. Virgin Islands,Puerto Rico
U.S. Virgin Islands,United States
U.S. Virgin Islands,St. Kitts & Nevis
U.S. Virgin Islands,British Virgin Islands
Uganda,Uganda
Uganda,Kenya
Uganda,Ethiopia
Uganda,United Arab Emirates
Uganda,Rwanda
United Arab Emirates,Qatar
United Arab Emirates,India
United Arab Emirates,Egypt
United Arab Emirates,Bahrain
United Arab Emirates,Afghanistan
United Arab Emirates,Pakistan
United Arab Emirates,Saudi Arabia
United Arab Emirates,Kuwait
United Arab Emirates,Russia
United Arab Emirates,Libya
United Arab Emirates,Italy
United Arab Emirates,Netherlands
United Arab Emirates,Jordan
United Arab Emirates,Bangladesh
United Arab Emirates,Oman
United Kingdom,United Kingdom
United Kingdom,Netherlands
United Kingdom,Ireland
United Kingdom,Spain
United Kingdom,Portugal
United Kingdom,Sweden
United Kingdom,France
United Kingdom,Jersey
United Kingdom,Isle of Man
United Kingdom,Switzerland
United Kingdom,Germany
United Kingdom,Luxembourg
United Kingdom,United States
United Kingdom,Turkey
United Kingdom,Antigua & Barbuda
United Kingdom,Guernsey
United States,United States
United States,Bahamas
United States,Canada
United States,Mexico
United States,United Kingdom
United States,Iceland
United States,Puerto Rico
Uruguay,Argentina
Uruguay,Brazil
Uruguay,Panama
Uruguay,Chile
Uruguay,Paraguay
Uzbekistan,Uzbekistan
Uzbekistan,Russia
Uzbekistan,Turkey
Uzbekistan,Kuwait
Uzbekistan,Saudi Arabia
Uzbekistan,Kazakhstan
Vanuatu,Vanuatu
Vanuatu,Australia
Vanuatu,Fiji
Venezuela,Venezuela
Venezuela,Panama
Venezuela,Dominican Republic
Venezuela,Curaçao
Venezuela,Brazil
Vietnam,Vietnam
Vietnam,South Korea
Vietnam,Taiwan
Wallis & Futuna,Wallis & Futuna
Wallis & Futuna,New Caledonia
Wallis & Futuna,Fiji
Wallis & Futuna,Samoa
Western Sahara,Morocco
Western Sahara,Spain
Western Sahara,France
Yemen,Egypt
Yemen,Jordan
Yemen,Djibouti
Yemen,Saudi Arabia
Yemen,Yemen
Yemen,India
Yemen,Kenya
Zambia,Zambia
Zambia,South Africa
Zambia,Kenya
Zambia,Zimbabwe
Zambia,Malawi
Zambia,Democratic Republic of the Congo
Zimbabwe,South Africa
Zimbabwe,Zimbabwe
Zimbabwe,Ethiopia
Zimbabwe,Zambia
Zimbabwe,Botswana
